"Product","CN","EN"
Video Call / Voice Call,原始音频数据获取,"Capturing raw audio data
"
Video Call / Voice Call,范围语音,In-game range voice
Video Call / Voice Call,云代理,Cloud proxy
Video Call / Voice Call,万人连麦,"Massive live co-hosting for 10,000+ (participants)"
Video Call / Voice Call,万人范围音视频,"Live group video/audio chat for 10,000+ (participants)"
Video Call / Voice Call,多源采集,Multi-Source Capture
Video Call / Voice Call,AI降噪,AI Noise Reduction
Video Call / Voice Call,主体分割与传输, Object Segmentation and Transmission
Video Call / Voice Call,低照度增强,Low-Light Enhancement
ZEGO Avatar,文字转语音/文语转换/语音合成,Text-to-Speech (TTS)
Call Kit,可定制的用户界面,Customizable UI
Call Kit,会议邀请,Meeting invitation
Call Kit,文本聊天,Text chat
Call Kit,屏幕共享,Screen sharing
Call Kit,录制,Recording
Call Kit,参与者列表和管理,Participant list & management
Call Kit,跨浏览器兼容性,Cross-browser compatibility
Call Kit,内置带宽管理,Built-in bandwidth management
Call Kit,自动网络重连,Auto network reconnection
Call Kit,网络分析展示,Network analytics display
Call Kit,可定制的品牌LOGO,Customizable branding LOGO
Call Kit,白板,Whiteboard
Call Kit,呼叫邀请,Call invitation
Call Kit,横屏,Landscape orientation
Call Kit,送礼物,Virtual gifting
Call Kit,可直接使用的一对一/群组通话,Ready-to-use 1-on-1/group calls
Call Kit,实时声波显示,Real-time sound waves display
Call Kit,设备管理,Device management
Call Kit,在一对一通话中切换视图,Switch views during a 1-on-1 call
Call Kit,可扩展的菜单栏,Extendable menu bar
Call Kit,参与者列表,Participant list
Call Kit,呼叫邀请/离线呼叫邀请,Call invitation/Offline call invitation
Call Kit,自定义呼叫铃声,Custom call ringtones
Call Kit,屏幕共享,Screen sharing
Live Streaming Kit,可定制的用户界面,Customizable UI
Live Streaming Kit,直播邀请,Livestream invitation
Live Streaming Kit,文本聊天,Text chat
Live Streaming Kit,屏幕共享,Screen sharing
Live Streaming Kit,录制,Recording
Live Streaming Kit,观众列表和管理,Audience list & management
Live Streaming Kit,跨浏览器兼容性,Cross-browser compatibility
Live Streaming Kit,内置带宽管理,Built-in bandwidth management
Live Streaming Kit,自动网络重连,Auto network reconnection
Live Streaming Kit,网络分析展示,Network analytics display
Live Streaming Kit,可定制的品牌LOGO,Customizable branding LOGO
Live Streaming Kit,横屏方向,Landscape orientation
Live Streaming Kit,送礼物,Virtual gifting
Live Streaming Kit,可直接使用的直播,Ready-to-use live streaming
Live Streaming Kit,实时互动文本聊天,Real-time interactive text chat
Live Streaming Kit,实时观众容量显示,Real-time audience capacity display
Live Streaming Kit,设备管理,Device management
Live Streaming Kit,可扩展的菜单栏,Extendable menu bar
Live Streaming Kit,连麦（邀请连麦 & 申请连麦）,Co-hosting (make co-host & apply co-host)
Video Conference Kit,自适应视频布局,Adaptive video layouts
Video Conference Kit,实时声波显示,Real-time sound waves display
Video Conference Kit,可定制的用户界面,Customizable UI
Video Conference Kit,设备管理,Device management
Video Conference Kit,可扩展的顶部/底部菜单栏,Extendable top/bottom menu bar
Video Conference Kit,可定制的会议标题,Customizable conference title
Video Conference Kit,成员列表,Member list
Video Conference Kit,实时文本聊天,Live text chat
Video Conference Kit,会议加入/离开通知,Conference join/leave notifications
Video Conference Kit,开箱即用的视频会议,Out-of-the-box video conference
Video Conference Kit,会议邀请,Conference invitation
Video Conference Kit,文本聊天,Text chat
Video Conference Kit,屏幕共享,Screen sharing
Video Conference Kit,录制,Recording
Video Conference Kit,参与者列表和管理,Participant list & management
Video Conference Kit,内置带宽管理,Built-in bandwidth management
Video Conference Kit,跨浏览器兼容性,Cross-browser compatibility
Video Conference Kit,网络分析展示,Network analytics display
Video Conference Kit,自动网络重连,Auto network reconnection
Video Conference Kit,可定制的品牌LOGO,Customizable branding LOGO
Video Conference Kit,白板,Whiteboard
Video Conference Kit,横屏,Landscape orientation
Video Conference Kit,送礼物,Virtual gifting
Live Audio Room Kit,踢人下麦,Remove speakers
Live Audio Room Kit,麦位更换,Speaker seats changing
Live Audio Room Kit,可定制的座位布局,Customizable seat layout
Live Audio Room Kit,可扩展的菜单栏,Extendable menu bar
Live Audio Room Kit,设备管理,Device management
Live Audio Room Kit,可定制的用户界面,Customizable UI
Live Audio Room Kit,实时文本互动聊天,Real-time interactive text chat
In-app Chat Kit,会话列表,Conversation list
In-app Chat Kit,消息列表,Message list
In-app Chat Kit,发送文本消息,Send text messages
In-app Chat Kit,发送和接收富媒体消息（图片、语音、视频和文件）,"Send & receive rich media messages (images, voice, video, and files)"
In-app Chat Kit,选择和删除多个消息,Select and delete multiple messages
In-app Chat Kit,自定义用户界面,Customize UI
Live Streaming,互动直播 （原L3）,Interactive Live Streaming
Live Streaming,直播混流、转推、转码服务,Livestream Creation
Live Streaming,摄像头采集推流,Camera Capture and Streaming
Live Streaming,屏幕共享采集推流,Screen Sharing Capture and Streaming
Live Streaming,RTMP 推流到 ZEGO 服务器,RTMP Streaming to ZEGOCLOUD Server
Live Streaming,设定视频质量,Setting Video Quality
Live Streaming,视频采集旋转,Video Capture Rotation
Live Streaming,音视频质量监测,Audio and Video Quality Monitoring
Live Streaming,混流,Stream Mixing
Live Streaming,媒体播放器,Media Player
Live Streaming,音效文件播放器,Sound Effect Player
Live Streaming,水印,Watermark
Live Streaming,房间实时消息,Real-Time In-Room Messages
Live Streaming,直播连麦,Co'-hosting
Live Streaming,同时推送多路流,Simultaneously Pushing Multiple Streams
Live Streaming,录制,Recording
Live Streaming,H.265,H.265
Live Streaming,自定义视频采集,Custom Video Capture
Live Streaming,自定义视频前处理,Custom Video Preprocessing
Live Streaming,自定义视频编解码,Custom Video Codec
Live Streaming,自定义视频渲染,Custom Video Rendering
Live Streaming,音频频谱与音量变化,Audio Spectrum and Volume Changes
Live Streaming,耳返,In-Ear Monitoring
Live Streaming,自定义音频采集,Custom Audio Capture
Live Streaming,自定义音频前处理,Custom Audio Preprocessing
Live Streaming,自定义音频渲染,Custom Audio Rendering
Live Streaming,音视频流加密,Audio and Video Stream Encryption
Live Streaming,回声消除（AEC）,Acoustic Echo Cancellation (AEC)
Live Streaming,自动增益控制（AGC）,Automatic Gain Control (AGC)
Live Streaming,降噪（ANS）,Noise Suppression (ANS)
Live Streaming,场景化 AI 降噪,Scenario-Based AI Noise Reduction
Live Streaming,游戏语音,In-Game Range Voice
Live Streaming,超分辨率,Super Resolution
Live Streaming,主体分割与传输,Object Segmentation and Transmission
Live Streaming,低照度增强,Low Light Enhancement
Call Kit,系统电话样式,System-calling UI 
Video Call / Voice Call,大小流,Dual Stream / Dual-Streaming
In-app Chat Kit,IMKit,In-app Chat Kit
